PN #,Video Name,Concepts,Variations,Raw Video File,Editing Brief,Editor,Final Video,Date Approved,Status
1,TCG_1N_OneP iece_Sounds_CardHalo_V1,[X] Sounds,V1,CardHalo,https://www.notion.so/brief1,Patty,https://f.iol/9g1Eklo,Apr 10 2026,Approved
2,TCG_1N_OnePieceSounds_CardHalo_V2,[X] Sounds,V2,CardHalo,https://www.notion.so/brief2,Patty,https://f.iol/c9JUyQDW,Apr 10 2026,Approved
3,TCG_2N_HowtoSuccessfullyKidnapMe_CardHalo_V1,How to [X],V1,CardHalo,https://www.notion.so/brief3,Sharm,https://f.iol/w7QcqBM,Apr 9 2026,Approved
4,TCG_2N_HowtoSuccessfullyKidnapMe_CardHalo_V2,How to [X],V2,CardHalo,https://www.notion.so/brief4,Sharm,https://f.iol/-9T1Myh,Apr 9 2026,Approved
5,TCG_3N_IHadaGoodFeelingAboutThisOne_CardHalo_,Good feeling,V1,CardHalo,https://www.notion.so/brief5,Patty,https://f.iol/9run1M69,Apr 10 2026,Approved
6,TCG_3N_IHadaGoodFeelingAboutThisOne_CardHalo_V2,Good feeling,V2,CardHalo,https://www.notion.so/brief6,Zidni,https://f.iol/3P2yqD4,Apr 9 2026,Approved
7,TCG_OP_WhichOne_CardHalo_V1,Which one,V1,CardHalo,https://www.notion.so/brief7,Sharm,https://f.iol-qE-U1Z,Apr 9 2026,Approved
8,TCG_IOP_WhichOne_CardHalo_V2,Which one,V2,CardHalo,https://www.notion.so/brief8,Patty,https://f.iol/JXUAvQg,Apr 10 2026,Approved
9,TCG_IOP_WhichOne_CardHalo_V3,Which one,V3,CardHalo,https://www.notion.so/brief9,Patty,https://f.iol/H4W0w-X2,Apr 10 2026,Approved
10,TCG_IOP_WhichOne_CardHalo_V4,Which one,V4,CardHalo,https://www.notion.so/brief10,Sharm,https://f.iol/oV223a6g,Apr 10 2026,Approved
11,TCG_IOP_WhichOne_CardHalo_V5,Which one,V5,CardHalo,https://www.notion.so/brief11,Sharm,https://f.iol/ZdLev8Uk,Apr 9 2026,Approved
12,TCG_IOP_WhichOne_CardHalo_V6,Which one,V6,CardHalo,https://www.notion.so/brief12,Sharm,https://f.iol/2cYlRrKH,Apr 9 2026,Approved
13,TCG_IOP_WhichOne_CardHalo_V7,Which one,V7,CardHalo,https://www.notion.so/brief13,Sharm,https://f.iol/qha3lFEO,Apr 14 2026,Approved
14,TCG_IOP_WhichOne_CardHalo_V8,Which one,V8,CardHalo,https://www.notion.so/brief14,Sharm,https://f.iol/nAUdUhmc,Apr 14 2026,Approved
15,TCG_IOP_WhichOne_CardHalo_V9,Which one,V9,CardHalo,https://www.notion.so/brief15,Sharm,https://f.iol/qhZlH04ZG,Apr 14 2026,Approved
16,TCG_2OP_Unboxing_CardHalo_V1,Unboxing,V1,Extras,https://www.notion.so/brief16,Sharm,https://f.iol/l-gtJg3u,Apr 14 2026,Approved
17,TCG_2OP_Unboxing13K_CardHalo_V2,Unboxing,V2,Extras,https://www.notion.so/brief17,Elsa,https://f.iol/aI7Gpe2,Apr 17 2026,Approved
18,TCG_1N_Innuendo_KV_V2_VOTest,Test,V2,Extras,,Elsa,,Apr 22 2026,
19,TCG_2OP_Unboxing_CardHalo_V1_NoVO,Test,V1,Extras,https://www.notion.so/brief19,Elsa,https://f.iol/ITpQTQl5,Apr 23 2026,
20,TCG_2OP_Unboxing_CardHalo_V2_VO,Test,V2,Extras,https://www.notion.so/brief20,Elsa,https://f.iol/EcOnQxA,Apr 23 2026,
